Nome do equipamento ou serviço,Tipo do serviço,Endereço,Horário de funcionamento,Telefone,Área de abrangência,Público,Tipo de Equipamento,Região de planejamento,Observação,Email,Bairro,Fonte do registro,Latitude,Longitude
ABORDAGEM SOCIAL,Abordagem Social,"Rua Coronel Gomes Machado, nº279, Centro– Niterói/RJ",24h,(21) 97125-7973,Todo o Município de Niterói,,Serviço Especializado em Abordagem Social,Praias da Baía,,absocialnit@smases.niteroi.rj.gov.br,Centro,Ambos os mapas,"-22,8921640","-43,1171670"
BANCO ARARIBOIA - AGÊNCIA BARRETO,Banco Araribóia,"Rua Craveiro Lopes, 230, Barreto",9h às 17h,,REGIÃO NORTE,,,Norte,,,Barreto,Mapa de Serviços e Equipamentos,"-22,8634346","-43,0973347"
BANCO ARARIBOIA - AGÊNCIA CENTRO,Banco Araribóia,"Rua Coronel Gomes Machado, 259, Centro",9h às 17h,,REGIÃO PRAIAS DA BAÍA,,,Praias da Baía,,,Centro,Mapa de Serviços e Equipamentos,"-22,8923610","-43,1171140"
BANCO ARARIBOIA - AGÊNCIA CUBANGO,Banco Araribóia,"Rua Desembargador Lima Castro, 241, Fonseca",9h às 17h,,REGIÃO NORTE,,,Norte,,,Fonseca,Mapa de Serviços e Equipamentos,"-22,8869570","-43,0866930"
BANCO ARARIBOIA - AGÊNCIA ITAIPU,Banco Araribóia,Praia de Itaipu,9h às 17h,(21) 99038-4409,REGIÃO OCEÂNICA/LESTE,,,Oceânica,,ecosol.itaipu@gmail.com,Itaipu,Mapa de Serviços e Equipamentos,"-22,9689730","-43,0458369"
BANCO ARARIBOIA - AGÊNCIA JURUJUBA,Banco Araribóia,"Rua Eugênio José Bernanrdes, 163, Jurujuba",9h às 17h,,REGIÃO PRAIAS DA BAÍA,,,Praias da Baía,,,Jurujuba,Mapa de Serviços e Equipamentos,"-22,9359730","-43,1137820"
BANCO ARARIBOIA - AGÊNCIA LARGO DA BATALHA,Banco Araribóia,"Rua reverendo Armando Ferreira, 19, Largo da Batalha",9h às 17h,,REGIÃO LARGO DA BATALHA,,,Pendotiba,,,Largo da Batalha,Mapa de Serviços e Equipamentos,"-22,9094239","-43,0676635"
BANCO ARARIBOIA - AGÊNCIA PIRATININGA,Banco Araribóia,"Avenida Doutor Raul de Oliveira Rodrigues, Piratininga",9h às 17h,,REGIÃO OCEÂNICA,,,Oceânica,,,Piratininga,Mapa de Serviços e Equipamentos,"-22,9337061","-43,0767199"
BANCO ARARIBOIA - AGÊNCIA VILA IPIRANGA,Banco Araribóia,"Rua Tenente Osório, Vila Ipiranga",9h às 17h,,REGIÃO NORTE,,,Norte,,,Centro,Mapa de Serviços e Equipamentos,"-22,8779932","-43,0933711"
BANCO MUNICIPAL DE ALIMENTOS HERBERT DE SOUZA,Banco Municipal de Alimentos,"Rua Padre Anchieta, n° 68, Centro, Niterói/RJ.",9h às 16h,,Todo o Município de Niterói,,,Praias da Baía,,bancodealimentos@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8980450","-43,1219350"
